region,crop,year,target_yield_centner_per_ha,sown_area,gross_harvest
Агинский Бурятский округ (Забайкальский край),подсолнечник,2012,,,
Агинский Бурятский округ (Забайкальский край),подсолнечник,2013,,,
Агинский Бурятский округ (Забайкальский край),подсолнечник,2014,,,
Агинский Бурятский округ (Забайкальский край),подсолнечник,2015,,,
Агинский Бурятский округ (Забайкальский край),подсолнечник,2016,,,
Агинский Бурятский округ (Забайкальский край),подсолнечник,2017,,,
Агинский Бурятский округ (Забайкальский край),подсолнечник,2018,,,
Агинский Бурятский округ (Забайкальский край),подсолнечник,2019,,,
Агинский Бурятский округ (Забайкальский край),подсолнечник,2020,,,
Агинский Бурятский округ (Забайкальский край),подсолнечник,2021,,,
Агинский Бурятский округ (Забайкальский край),подсолнечник,2022,,,
Агинский Бурятский округ (Забайкальский край),подсолнечник,2023,,,
Агинский Бурятский округ (Забайкальский край),подсолнечник,2024,,,
Агинский Бурятский округ (Забайкальский край),подсолнечник,2025,,,
Агинский Бурятский округ (Забайкальский край),помидоры,2000,50.8,,
Агинский Бурятский округ (Забайкальский край),помидоры,2001,44.5,,
Агинский Бурятский округ (Забайкальский край),помидоры,2002,44.7,,
Агинский Бурятский округ (Забайкальский край),помидоры,2003,39.4,,
Агинский Бурятский округ (Забайкальский край),помидоры,2004,50.0,,
Агинский Бурятский округ (Забайкальский край),помидоры,2005,59.3,,
Агинский Бурятский округ (Забайкальский край),помидоры,2006,65.4,,
Агинский Бурятский округ (Забайкальский край),помидоры,2007,,,
Агинский Бурятский округ (Забайкальский край),помидоры,2008,,,
Агинский Бурятский округ (Забайкальский край),помидоры,2009,,,
Агинский Бурятский округ (Забайкальский край),помидоры,2010,,,
Агинский Бурятский округ (Забайкальский край),помидоры,2011,,,
Агинский Бурятский округ (Забайкальский край),помидоры,2012,,,
Агинский Бурятский округ (Забайкальский край),помидоры,2013,,,
Агинский Бурятский округ (Забайкальский край),помидоры,2014,,,
Агинский Бурятский округ (Забайкальский край),помидоры,2015,,,
Агинский Бурятский округ (Забайкальский край),помидоры,2016,,,
Агинский Бурятский округ (Забайкальский край),помидоры,2017,,,
Агинский Бурятский округ (Забайкальский край),помидоры,2018,,,
Агинский Бурятский округ (Забайкальский край),помидоры,2019,,,
Агинский Бурятский округ (Забайкальский край),помидоры,2020,,,
Агинский Бурятский округ (Забайкальский край),помидоры,2021,,,
Агинский Бурятский округ (Забайкальский край),помидоры,2022,,,
Агинский Бурятский округ (Забайкальский край),помидоры,2023,,,
Агинский Бурятский округ (Забайкальский край),помидоры,2024,,,
Агинский Бурятский округ (Забайкальский край),помидоры,2025,,,
Агинский Бурятский округ (Забайкальский край),просо,2000,,,
Агинский Бурятский округ (Забайкальский край),просо,2001,,,
Агинский Бурятский округ (Забайкальский край),просо,2002,,,
Агинский Бурятский округ (Забайкальский край),просо,2003,20.3,0.0,
Агинский Бурятский округ (Забайкальский край),просо,2004,7.6,0.03,
Агинский Бурятский округ (Забайкальский край),просо,2005,0.4,0.05,
Агинский Бурятский округ (Забайкальский край),просо,2006,,,
Агинский Бурятский округ (Забайкальский край),просо,2007,,,
